Title,"Number of Students","Badges Awarded","Certificates Awarded","Average Marks"
"Introduction to Online Teaching",361,n/a,n/a,n/a
"Communicating with Families",207,n/a,n/a,n/a
"Lesson Delivery: Synchronous and Asynchronous",196,n/a,n/a,n/a
"Creating Supportive Online Learning Environments: LMS",191,n/a,n/a,n/a
"Online Engagement and Classroom Management",134,n/a,n/a,n/a
"Virtual Assessment",123,n/a,n/a,n/a
"Differentiation and Equity",114,n/a,n/a,n/a
"Internet Safety and Professionalism",108,n/a,n/a,n/a
